id,acronym,parent,name
0,Clear Label,,Clear Label
1,corticofugal tract and corona radiata,,corticofugal tract and corona radiata
3,Subthalamic nucleus,,Subthalamic nucleus
4,Molecular cell layer of the cerebellum,,Molecular cell layer of the cerebellum
5,Cerebellum- unspecified,,Cerebellum- unspecified
6,alveus of the hippocampus,,alveus of the hippocampus
7,inferior cerebellar peduncle,,inferior cerebellar peduncle
10,Cingulate area 2,,Cingulate area 2
32,Entopeduncular nucleus,,Entopeduncular nucleus
33,Ventricular system- unspecified,,Ventricular system- unspecified
34,medial lemniscus- unspecified,,medial lemniscus- unspecified
35,facial nerve- unspecified,,facial nerve- unspecified
36,anterior commissure- anterior limb,,anterior commissure- anterior limb
37,anterior commissure- posterior limb,,anterior commissure- posterior limb
38,ventral hippocampal commissure,,ventral hippocampal commissure
40,Septal region,,Septal region
41,optic nerve,,optic nerve
42,optic tract and optic chiasm,,optic tract and optic chiasm
43,Pineal gland,,Pineal gland
45,Spinal cord,,Spinal cord
46,commissure of the superior colliculus,,commissure of the superior colliculus
47,Brainstem- unspecified,,Brainstem- unspecified
48,Hypothalamic region- unspecified,,Hypothalamic region- unspecified
50,Superficial gray layer of the superior colliculus,,Superficial gray layer of the superior colliculus
51,Periaqueductal gray,,Periaqueductal gray
52,fornix,,fornix
53,mammillotegmental tract,,mammillotegmental tract
54,commissural stria terminalis,,commissural stria terminalis
55,Deeper layers of the superior colliculus,,Deeper layers of the superior colliculus
56,Periventricular gray,,Periventricular gray
57,genu of the facial nerve,,genu of the facial nerve
58,Pontine nuclei,,Pontine nuclei
59,fimbria of the hippocampus,,fimbria of the hippocampus
60,fasciculus retroflexus,,fasciculus retroflexus
61,stria medullaris thalami,,stria medullaris thalami
62,stria terminalis,,stria terminalis
63,posterior commissure,,posterior commissure
64,Glomerular layer of the accessory olfactory bulb,,Glomerular layer of the accessory olfactory bulb
65,Glomerular layer of the olfactory bulb,,Glomerular layer of the olfactory bulb
66,Olfactory bulb- unspecified,,Olfactory bulb- unspecified
67,corpus callosum and associated subcortical white matter,,corpus callosum and associated subcortical white matter
68,brachium of the superior colliculus,,brachium of the superior colliculus
69,inferior colliculus- commissure,,inferior colliculus- commissure
70,Central canal,,Central canal
71,Interpeduncular nucleus,,Interpeduncular nucleus
72,ascending fibers of the facial nerve,,ascending fibers of the facial nerve
73,anterior commissure- intrabulbar part,,anterior commissure- intrabulbar part
74,Inferior olive,,Inferior olive
75,Spinal trigeminal nucleus,,Spinal trigeminal nucleus
76,spinal trigeminal tract,,spinal trigeminal tract
77,Frontal association cortex,,Frontal association cortex
78,middle cerebellar peduncle,,middle cerebellar peduncle
79,transverse fibers of the pons,,transverse fibers of the pons
80,habenular commissure,,habenular commissure
81,Nucleus of the stria medullaris,,Nucleus of the stria medullaris
82,Basal forebrain region- unspecified,,Basal forebrain region- unspecified
