id	acronym	parent	name	
1	0	Clear Label		Clear Label
2	1	corticofugal tract and corona radiata		corticofugal tract and corona radiata
3	3	Subthalamic nucleus		Subthalamic nucleus
4	4	Molecular cell layer of the cerebellum		Molecular cell layer of the cerebellum
5	5	Cerebellum- unspecified		Cerebellum- unspecified
6	6	alveus of the hippocampus		alveus of the hippocampus
7	7	inferior cerebellar peduncle		inferior cerebellar peduncle
8	10	Cingulate area 2		Cingulate area 2
9	32	Entopeduncular nucleus		Entopeduncular nucleus
10	33	Ventricular system- unspecified		Ventricular system- unspecified
11	34	medial lemniscus- unspecified		medial lemniscus- unspecified
12	35	facial nerve- unspecified		facial nerve- unspecified
13	36	anterior commissure- anterior limb		anterior commissure- anterior limb
14	37	anterior commissure- posterior limb		anterior commissure- posterior limb
15	38	ventral hippocampal commissure		ventral hippocampal commissure
16	40	Septal region		Septal region
17	41	optic nerve		optic nerve
18	42	optic tract and optic chiasm		optic tract and optic chiasm
19	43	Pineal gland		Pineal gland
20	45	Spinal cord		Spinal cord
21	46	commissure of the superior colliculus		commissure of the superior colliculus
22	47	Brainstem- unspecified		Brainstem- unspecified
23	48	Hypothalamic region- unspecified		Hypothalamic region- unspecified
24	50	Superficial gray layer of the superior colliculus		Superficial gray layer of the superior colliculus
25	51	Periaqueductal gray		Periaqueductal gray
26	52	fornix		fornix
27	53	mammillotegmental tract		mammillotegmental tract
28	54	commissural stria terminalis		commissural stria terminalis
29	55	Deeper layers of the superior colliculus		Deeper layers of the superior colliculus
30	56	Periventricular gray		Periventricular gray
31	57	genu of the facial nerve		genu of the facial nerve
32	58	Pontine nuclei		Pontine nuclei
33	59	fimbria of the hippocampus		fimbria of the hippocampus
34	60	fasciculus retroflexus		fasciculus retroflexus
35	61	stria medullaris thalami		stria medullaris thalami
36	62	stria terminalis		stria terminalis
37	63	posterior commissure		posterior commissure
38	64	Glomerular layer of the accessory olfactory bulb		Glomerular layer of the accessory olfactory bulb
39	65	Glomerular layer of the olfactory bulb		Glomerular layer of the olfactory bulb
40	66	Olfactory bulb- unspecified		Olfactory bulb- unspecified
41	67	corpus callosum and associated subcortical white matter		corpus callosum and associated subcortical white matter
42	68	brachium of the superior colliculus		brachium of the superior colliculus
43	69	inferior colliculus- commissure		inferior colliculus- commissure
44	70	Central canal		Central canal
45	71	Interpeduncular nucleus		Interpeduncular nucleus
46	72	ascending fibers of the facial nerve		ascending fibers of the facial nerve
47	73	anterior commissure- intrabulbar part		anterior commissure- intrabulbar part
48	74	Inferior olive		Inferior olive
49	75	Spinal trigeminal nucleus		Spinal trigeminal nucleus
50	76	spinal trigeminal tract		spinal trigeminal tract
51	77	Frontal association cortex		Frontal association cortex
52	78	middle cerebellar peduncle		middle cerebellar peduncle
53	79	transverse fibers of the pons		transverse fibers of the pons
