id	acronym	name	parent
1	997	root	root	NA
2	8	grey	Basic_cell_groups_and_regions	997
3	567	CH	Cerebrum	8
4	688	CTX	Cerebral_cortex	567
5	695	CTXpl	Cortical_plate	688
6	315	Isocortex	Isocortex	695
7	184	FRP	Frontal_pole,_cerebral_cortex	315
8	68	FRP1	Frontal_pole,_layer_1	184
9	667	FRP2-3	Frontal_pole,_layer_2/3	184
10	57192	FRP5	Frontal_pole,_layer_5	184
11	57196	FRP6a	Frontal_pole,_layer_6a	184
12	22264	FRP6b	Frontal_pole,_layer_6b	184
13	500	MO	Somatomotor_areas	315
14	107	MO1	Somatomotor_areas,_Layer_1	500
15	219	MO2-3	Somatomotor_areas,_Layer_2/3	500
16	299	MO5	Somatomotor_areas,_Layer_5	500
17	644	MO6a	Somatomotor_areas,_Layer_6a	500
18	947	MO6b	Somatomotor_areas,_Layer_6b	500
19	985	MOp	Primary_motor_area	500
20	320	MOp1	Primary_motor_area,_Layer_1	985
21	943	MOp2-3	Primary_motor_area,_Layer_2/3	985
22	648	MOp5	Primary_motor_area,_Layer_5	985
23	844	MOp6a	Primary_motor_area,_Layer_6a	985
24	882	MOp6b	Primary_motor_area,_Layer_6b	985
25	993	MOs	Secondary_motor_area	500
26	656	MOs1	Secondary_motor_area,_layer_1	993
27	962	MOs2-3	Secondary_motor_area,_layer_2/3	993
28	767	MOs5	Secondary_motor_area,_layer_5	993
29	1021	MOs6a	Secondary_motor_area,_layer_6a	993
30	1085	MOs6b	Secondary_motor_area,_layer_6b	993
31	453	SS	Somatosensory_areas	315
32	12993	SS1	Somatosensory_areas,_layer_1	453
33	12994	SS2-3	Somatosensory_areas,_layer_2/3	453
34	12995	SS4	Somatosensory_areas,_layer_4	453
35	12996	SS5	Somatosensory_areas,_layer_5	453
36	12997	SS6a	Somatosensory_areas,_layer_6a	453
37	12998	SS6b	Somatosensory_areas,_layer_6b	453
38	322	SSp	Primary_somatosensory_area	453
39	793	SSp1	Primary_somatosensory_area,_layer_1	322
40	346	SSp2-3	Primary_somatosensory_area,_layer_2/3	322
41	865	SSp4	Primary_somatosensory_area,_layer_4	322
42	921	SSp5	Primary_somatosensory_area,_layer_5	322
43	686	SSp6a	Primary_somatosensory_area,_layer_6a	322
44	719	SSp6b	Primary_somatosensory_area,_layer_6b	322
45	353	SSp-n	Primary_somatosensory_area,_nose	322
46	558	SSp-n1	Primary_somatosensory_area,_nose,_layer_1	353
47	838	SSp-n2-3	Primary_somatosensory_area,_nose,_layer_2/3	353
48	654	SSp-n4	Primary_somatosensory_area,_nose,_layer_4	353
49	702	SSp-n5	Primary_somatosensory_area,_nose,_layer_5	353
50	889	SSp-n6a	Primary_somatosensory_area,_nose,_layer_6a	353
51	929	SSp-n6b	Primary_somatosensory_area,_nose,_layer_6b	353
52	329	SSp-bfd	Primary_somatosensory_area,_barrel_field	322
53	981	SSp-bfd1	Primary_somatosensory_area,_barrel_field,_layer_1	329
54	201	SSp-bfd2-3	Primary_somatosensory_area,_barrel_field,_layer_2/3	329
55	1047	SSp-bfd4	Primary_somatosensory_area,_barrel_field,_layer_4	329
56	1070	SSp-bfd5	Primary_somatosensory_area,_barrel_field,_layer_5	329
57	1038	SSp-bfd6a	Primary_somatosensory_area,_barrel_field,_layer_6a	329
58	1062	SSp-bfd6b	Primary_somatosensory_area,_barrel_field,_layer_6b	329
59	49202	VISrll	Rostrolateral_lateral_visual_area	329
60	49206	VISrll1	Rostrolateral_lateral_visual_area,_layer_1	49202
61	49210	VISrll2-3	Rostrolateral_lateral_visual_area,_layer_2/3	49202
62	49214	VISrll4	Rostrolateral_lateral_visual_area,_layer_4	49202
63	49218	VISrll5	Rostrolateral_lateral_visual_area,layer_5	49202
64	49222	VISrll6a	Rostrolateral_lateral_visual_area,_layer_6a	49202
65	49226	VISrll6b	Rostrolateral_lateral_visual_area,_layer_6b	49202
66	337	SSp-ll	Primary_somatosensory_area,_lower_limb	322
67	1030	SSp-ll1	Primary_somatosensory_area,_lower_limb,_layer_1	337
68	113	SSp-ll2-3	Primary_somatosensory_area,_lower_limb,_layer_2/3	337
69	1094	SSp-ll4	Primary_somatosensory_area,_lower_limb,_layer_4	337
70	1128	SSp-ll5	Primary_somatosensory_area,_lower_limb,_layer_5	337
71	478	SSp-ll6a	Primary_somatosensory_area,_lower_limb,_layer_6a	337
