"","id","acronym","name","parent"
"1",15564,"mouse","Mus musculus",NA
"2",15565,"NP","neural plate",15564
"3",15566,"F","forebrain",15565
"4",15567,"SP","secondary prosencephalon",15566
"5",15568,"RSP","rostral secondary prosencephalon",15567
"6",15569,"POTel","preoptic telencephalon",15568
"7",15570,"POR","preoptic roof plate",15569
"8",15571,"RSCom","rostral septocommissural area",15570
"9",15572,"RSComv","ventricular zone of RSCom",15571
"10",15573,"ACBed","anterior commissure bed",15572
"11",15574,"RSComm","mantle zone of RSCom",15571
"12",15575,"MnPOC","median preoptic nucleus, commissural part",15574
"13",15576,"POA","preoptic alar plate",15569
"14",15577,"PO","preoptic area",15576
"15",20530,"POv","ventricular zone of PO",15577
"16",20532,"POm","mantle zone of PO",15577
"17",15578,"LTer","lamina terminalis area",15577
"18",15579,"LTerv","ventricular zone of LTer",15578
"19",15580,"LTerm","mantle zone of LTer",15578
"20",15581,"LTerp","periventricular stratum of the LTer",15580
"21",15582,"VOLT","vascular organ of the lamina terminalis",15581
"22",15583,"LTeri","intermediate stratum of the LTer",15580
"23",15584,"MnPOI","median preoptic nucleus, intermediate part",15583
"24",15585,"LTers","superficial stratum of the LTer",15580
"25",15586,"MnPOS","median preoptic nucleus, superficial part",15585
"26",15587,"PO1","first (dorsal) preoptic domain",15577
"27",15588,"PO1v","ventricular zone of PO1",15587
"28",15589,"PO1m","mantle zone of PO1",15587
"29",15590,"PO1p","periventricular stratum of PO1",15589
"30",15591,"AVPe","anteroventral periventricular preoptic nucleus",15590
"31",15592,"DSPO","dorsal septopreoptic nucleus",15590
"32",15593,"PO1i","intermediate stratum of PO1",15589
"33",15594,"PS","parastrial preoptic nucleus",15593
"34",15595,"DMPAi","dorsomedial preoptic area, intermediate part",15593
"35",15596,"LPO1","lateral preoptic area, PO1 part",15593
"36",15597,"PO1s","superficial stratum of PO1",15589
"37",15598,"DMPAs","dorsomedial preoptic area, superficial part",15597
"38",15599,"PO2","second (ventral) preoptic domain",15577
"39",15600,"PO2v","ventricular zone of PO2",15599
"40",15601,"PO2m","mantle zone of PO2",15599
"41",15602,"PO2p","periventricular stratum of PO2",15601
"42",15603,"MPOPe","medial preoptic periventricular stratum",15602
"43",15604,"MPO","medial preoptic nucleus",15602
"44",15605,"MPOL","lateral part of MPO",15604
"45",15606,"MPOM","medial part of MPO",15604
"46",15607,"MPOC","central part of MPO",15604
"47",15608,"PO2i","intermediate stratum of PO2",15601
"48",15609,"LPO2","lateral preoptic nucleus, PO2 part",15608
"49",15610,"PO2s","superficial stratum of PO2",15601
"50",15611,"VMPO","ventromedial preoptic nucleus",15610
"51",15612,"VLPO","ventrolateral preoptic nucleus",15610
"52",15613,"POH","preopto-hypothalamic band",15576
"53",15614,"POHv","ventricular zone of POH",15613
"54",15615,"POHm","mantle zone of POH",15613
"55",15616,"POHp","periventricular stratum of POH",15615
"56",15617,"POHi","intermediate stratum of POH",15615
"57",15618,"StHy","striohypothalamic nucleus",15617
"58",15619,"POHA","preopto-hypothalamic area",15617
"59",15620,"POHs","superficial stratum of POH",15615
"60",15621,"ESO","episupraoptic nucleus",15620
"61",15622,"THy","terminal hypothalamus (rostral hypothalamus)",15568
"62",15623,"THyA","alar part of terminal hypothalamus",15622
"63",15624,"TPaA","terminal paraventricular area of THyA",15623
"64",15625,"TPaAv","ventricular zone of TPaA",15624
"65",15626,"TPaAm","mantle zone of TPaA",15624
"66",15627,"TPaAp","periventricular stratum of TPaA",15626
"67",15628,"RPa","rostral paraventricular nucleus",15627
"68",15629,"TPaAi","intermediate stratum of TPaA",15626
"69",15630,"LA","lateral anterior hypothalamic nucleus",15629
"70",15631,"TSM","terminal nucleus of the stria medullaris",15629
"71",15632,"TPaAs","superficial stratum of TPaA",15626
"72",15633,"SO","supraoptic nucleus",15632
"73",15634,"ES","eye vesicle, stalk/nerve",15623
"74",15635,"EPg","eye vesicle, pigmented retina",15623
"75",15636,"EN","eye vesicle, neural retina",15623
"76",15637,"ENv","ventricular zone of neural retina",15636
"77",15638,"ENm","mantle zone of neural retina",15636
"78",15639,"ENp","periventricular stratum of the retina",15638
"79",15640,"ON","outer nuclear layer (photoreceptor layer)",15639
"80",15641,"OPL","outer plexiform layer",15639
"81",15642,"ENi","intermediate stratum of the retina",15638
"82",15643,"Hor","horizontal cell layer",15642
"83",15644,"Bi","bipolar cell layer",15642
"84",15645,"Mu","Mueller cell layer",15642
"85",15646,"Acr","amacrine cell layer",15642
"86",15647,"IPL","inner plexiform layer",15642
"87",15648,"ENs","superficial stratum of the retina",15638
"88",15649,"GCL","ganglion cell layer",15648
"89",15650,"GC","ganglion cells",15649
"90",15651,"IAcr","inverted amacrine cells",15649
"91",15652,"OF","optic fiber layer",15648
"92",15653,"TSPaA","terminal subparaventricular area of THyA",15623
"93",15654,"TSPaAv","ventricular zone of TSPaA",15653
"94",15655,"TSPaAm","mantle zone of TSPaA",15653
"95",15656,"TSPaAp","periventricular stratum of TSPaA",15655
"96",15657,"SCHp","suprachiasmatic nucleus, periventricular part",15656
"97",15658,"TSPa","terminal subparaventricular area",15656
"98",15659,"TSPaAi","intermediate stratum of TSPaA",15655
"99",15660,"SCH","suprachiasmatic nucleus",15659
"100",15661,"SCHc","core of SCH",15660
"101",15662,"AH","anterior hypothalamic nucleus",15659
"102",15663,"TSPaAs","superficial stratum of TSPaA",15655
"103",15664,"SCHs","shell of SCH",15663
"104",15665,"TC","tuber cinereum area",15663
"105",15666,"THyB","basal part of terminal hypothalamus",15622
"106",15667,"THyB-D","dorsal part of THyB",15666
"107",15668,"THyB-Dv","ventricular zone of THyB-D",15667
"108",15669,"THyB-Dm","mantle zone of THyB-D",15667
"109",15670,"THyB-Dp","periventricular stratum of THyB-D",15669
"110",15671,"ABasp","periventricular part of the anterobasal nucleus",15670
"111",15672,"VMHp","periventricular domain associated to VMH",15670
"112",15673,"THyB-Di","intermediate stratum of THyB-D",15669
"113",15674,"ABasc","core part of the anterobasal nucleus",15673
"114",15675,"VMH","ventromedial hypothalamic nucleus",15673
"115",15676,"VMHdm","dorsomedial part of VMH",15675
"116",15677,"VMHce","central part of VMH",15675
"117",15678,"VMHvl","ventrolateral part of VMH",15675
"118",15679,"VMHsh","shell of VMH",15675
"119",15680,"THyB-Ds","superficial stratum of THyB-D",15669
"120",15681,"ABass","shell part of the anterobasal nucleus",15680
"121",15682,"SbO","suboptic nucleus",15680
"122",15683,"Tu","tuberal nucleus",15680
"123",15684,"THyB-I","intermediate part of THyB",15666
"124",15685,"THyB-Iv","ventricular zone of THyB-I",15684
"125",15686,"THyB-Im","mantle zone of THyB-I",15684
"126",15687,"THyB-Ip","periventricular stratum of THyB-I",15686
"127",15688,"Arcp","periventricular part of the arcuate nucleus",15687
"128",15689,"ME","median eminence",15687
"129",15690,"Inf","infundibulum",15687
"130",15691,"NHy","neurohypophysis",15687
"131",15692,"T-DMHp","periventricular domain associated to T-DMH",15687
"132",15693,"THyB-Ii","intermediate stratum of THyB-I",15686
"133",15694,"T-DMH","dorsomedial nucleus, terminal part",15693
"134",15695,"T-DMHc","core of T-DMH",15694
"135",15696,"T-DMHs","shell of T-DMH",15694
"136",15697,"Arci","intermediate part of the arcuate nucleus",15693
"137",15698,"PMV","ventral premammillary nucleus (migrated)",15693
"138",15699,"THyB-Is","superficial stratum of THyB-I",15686
"139",15700,"Arcs","superficial part of arcuate nucleus",15699
"140",15701,"MTu","medial tuberal nucleus",15699
"141",15702,"THyB-V","ventral part of THyB",15666
"142",15703,"THyB-Vv","ventricular zone of THyB-V",15702
"143",15704,"T-HVO","hypothalamic ventricular organ, terminal part",15703
"144",15705,"THyB-Vm","mantle zone of THyB-V",15702
"145",15706,"THyB-Vp","periventricular stratum of THyB-V",15705
