id	acronym	name	parent
1	15564	mouse	Mus_musculus	NA
2	15565	NP	neural_plate	15564
3	15566	F	forebrain	15565
4	15567	SP	secondary_prosencephalon	15566
5	15568	RSP	rostral_secondary_prosencephalon	15567
6	15569	POTel	preoptic_telencephalon	15568
7	15570	POR	preoptic_roof_plate	15569
8	15571	RSCom	rostral_septocommissural_area	15570
9	15572	RSComv	ventricular_zone_of_RSCom	15571
10	15573	ACBed	anterior_commissure_bed	15572
11	15574	RSComm	mantle_zone_of_RSCom	15571
12	15575	MnPOC	median_preoptic_nucleus,_commissural_part	15574
13	15576	POA	preoptic_alar_plate	15569
14	15577	PO	preoptic_area	15576
15	20530	POv	ventricular_zone_of_PO	15577
16	20532	POm	mantle_zone_of_PO	15577
17	15578	LTer	lamina_terminalis_area	15577
18	15579	LTerv	ventricular_zone_of_LTer	15578
19	15580	LTerm	mantle_zone_of_LTer	15578
20	15581	LTerp	periventricular_stratum_of_the_LTer	15580
21	15582	VOLT	vascular_organ_of_the_lamina_terminalis	15581
22	15583	LTeri	intermediate_stratum_of_the_LTer	15580
23	15584	MnPOI	median_preoptic_nucleus,_intermediate_part	15583
24	15585	LTers	superficial_stratum_of_the_LTer	15580
25	15586	MnPOS	median_preoptic_nucleus,_superficial_part	15585
26	15587	PO1	first_(dorsal)_preoptic_domain	15577
27	15588	PO1v	ventricular_zone_of_PO1	15587
28	15589	PO1m	mantle_zone_of_PO1	15587
29	15590	PO1p	periventricular_stratum_of_PO1	15589
30	15591	AVPe	anteroventral_periventricular_preoptic_nucleus	15590
31	15592	DSPO	dorsal_septopreoptic_nucleus	15590
32	15593	PO1i	intermediate_stratum_of_PO1	15589
33	15594	PS	parastrial_preoptic_nucleus	15593
34	15595	DMPAi	dorsomedial_preoptic_area,_intermediate_part	15593
35	15596	LPO1	lateral_preoptic_area,_PO1_part	15593
36	15597	PO1s	superficial_stratum_of_PO1	15589
37	15598	DMPAs	dorsomedial_preoptic_area,_superficial_part	15597
38	15599	PO2	second_(ventral)_preoptic_domain	15577
39	15600	PO2v	ventricular_zone_of_PO2	15599
40	15601	PO2m	mantle_zone_of_PO2	15599
41	15602	PO2p	periventricular_stratum_of_PO2	15601
42	15603	MPOPe	medial_preoptic_periventricular_stratum	15602
43	15604	MPO	medial_preoptic_nucleus	15602
44	15605	MPOL	lateral_part_of_MPO	15604
45	15606	MPOM	medial_part_of_MPO	15604
46	15607	MPOC	central_part_of_MPO	15604
47	15608	PO2i	intermediate_stratum_of_PO2	15601
48	15609	LPO2	lateral_preoptic_nucleus,_PO2_part	15608
49	15610	PO2s	superficial_stratum_of_PO2	15601
50	15611	VMPO	ventromedial_preoptic_nucleus	15610
51	15612	VLPO	ventrolateral_preoptic_nucleus	15610
52	15613	POH	preopto-hypothalamic_band	15576
53	15614	POHv	ventricular_zone_of_POH	15613
54	15615	POHm	mantle_zone_of_POH	15613
55	15616	POHp	periventricular_stratum_of_POH	15615
56	15617	POHi	intermediate_stratum_of_POH	15615
57	15618	StHy	striohypothalamic_nucleus	15617
58	15619	POHA	preopto-hypothalamic_area	15617
59	15620	POHs	superficial_stratum_of_POH	15615
60	15621	ESO	episupraoptic_nucleus	15620
61	15622	THy	terminal_hypothalamus_(rostral_hypothalamus)	15568
62	15623	THyA	alar_part_of_terminal_hypothalamus	15622
63	15624	TPaA	terminal_paraventricular_area_of_THyA	15623
64	15625	TPaAv	ventricular_zone_of_TPaA	15624
65	15626	TPaAm	mantle_zone_of_TPaA	15624
66	15627	TPaAp	periventricular_stratum_of_TPaA	15626
67	15628	RPa	rostral_paraventricular_nucleus	15627
68	15629	TPaAi	intermediate_stratum_of_TPaA	15626
69	15630	LA	lateral_anterior_hypothalamic_nucleus	15629
70	15631	TSM	terminal_nucleus_of_the_stria_medullaris	15629
71	15632	TPaAs	superficial_stratum_of_TPaA	15626
72	15633	SO	supraoptic_nucleus	15632
73	15634	ES	eye_vesicle,_stalk/nerve	15623
74	15635	EPg	eye_vesicle,_pigmented_retina	15623
75	15636	EN	eye_vesicle,_neural_retina	15623
76	15637	ENv	ventricular_zone_of_neural_retina	15636
77	15638	ENm	mantle_zone_of_neural_retina	15636
78	15639	ENp	periventricular_stratum_of_the_retina	15638
79	15640	ON	outer_nuclear_layer_(photoreceptor_layer)	15639
80	15641	OPL	outer_plexiform_layer	15639
81	15642	ENi	intermediate_stratum_of_the_retina	15638
82	15643	Hor	horizontal_cell_layer	15642
83	15644	Bi	bipolar_cell_layer	15642
84	15645	Mu	Mueller_cell_layer	15642
85	15646	Acr	amacrine_cell_layer	15642
86	15647	IPL	inner_plexiform_layer	15642
87	15648	ENs	superficial_stratum_of_the_retina	15638
88	15649	GCL	ganglion_cell_layer	15648
89	15650	GC	ganglion_cells	15649
90	15651	IAcr	inverted_amacrine_cells	15649
91	15652	OF	optic_fiber_layer	15648
92	15653	TSPaA	terminal_subparaventricular_area_of_THyA	15623
93	15654	TSPaAv	ventricular_zone_of_TSPaA	15653
94	15655	TSPaAm	mantle_zone_of_TSPaA	15653
95	15656	TSPaAp	periventricular_stratum_of_TSPaA	15655
96	15657	SCHp	suprachiasmatic_nucleus,_periventricular_part	15656
97	15658	TSPa	terminal_subparaventricular_area	15656
98	15659	TSPaAi	intermediate_stratum_of_TSPaA	15655
99	15660	SCH	suprachiasmatic_nucleus	15659
100	15661	SCHc	core_of_SCH	15660
101	15662	AH	anterior_hypothalamic_nucleus	15659
102	15663	TSPaAs	superficial_stratum_of_TSPaA	15655
103	15664	SCHs	shell_of_SCH	15663
104	15665	TC	tuber_cinereum_area	15663
105	15666	THyB	basal_part_of_terminal_hypothalamus	15622
106	15667	THyB-D	dorsal_part_of_THyB	15666
107	15668	THyB-Dv	ventricular_zone_of_THyB-D	15667
108	15669	THyB-Dm	mantle_zone_of_THyB-D	15667
109	15670	THyB-Dp	periventricular_stratum_of_THyB-D	15669
110	15671	ABasp	periventricular_part_of_the_anterobasal_nucleus	15670
111	15672	VMHp	periventricular_domain_associated_to_VMH	15670
112	15673	THyB-Di	intermediate_stratum_of_THyB-D	15669
113	15674	ABasc	core_part_of_the_anterobasal_nucleus	15673
114	15675	VMH	ventromedial_hypothalamic_nucleus	15673
115	15676	VMHdm	dorsomedial_part_of_VMH	15675
116	15677	VMHce	central_part_of_VMH	15675
117	15678	VMHvl	ventrolateral_part_of_VMH	15675
118	15679	VMHsh	shell_of_VMH	15675
119	15680	THyB-Ds	superficial_stratum_of_THyB-D	15669
120	15681	ABass	shell_part_of_the_anterobasal_nucleus	15680
121	15682	SbO	suboptic_nucleus	15680
122	15683	Tu	tuberal_nucleus	15680
123	15684	THyB-I	intermediate_part_of_THyB	15666
124	15685	THyB-Iv	ventricular_zone_of_THyB-I	15684
125	15686	THyB-Im	mantle_zone_of_THyB-I	15684
126	15687	THyB-Ip	periventricular_stratum_of_THyB-I	15686
127	15688	Arcp	periventricular_part_of_the_arcuate_nucleus	15687
128	15689	ME	median_eminence	15687
129	15690	Inf	infundibulum	15687
130	15691	NHy	neurohypophysis	15687
131	15692	T-DMHp	periventricular_domain_associated_to_T-DMH	15687
132	15693	THyB-Ii	intermediate_stratum_of_THyB-I	15686
133	15694	T-DMH	dorsomedial_nucleus,_terminal_part	15693
134	15695	T-DMHc	core_of_T-DMH	15694
135	15696	T-DMHs	shell_of_T-DMH	15694
136	15697	Arci	intermediate_part_of_the_arcuate_nucleus	15693
137	15698	PMV	ventral_premammillary_nucleus_(migrated)	15693
138	15699	THyB-Is	superficial_stratum_of_THyB-I	15686
139	15700	Arcs	superficial_part_of_arcuate_nucleus	15699
140	15701	MTu	medial_tuberal_nucleus	15699
141	15702	THyB-V	ventral_part_of_THyB	15666
