"","id","acronym","name","parent"
"1",4005,"Br","brain",NA
"2",4006,"GM","gray matter",4005
"3",4007,"Tel","telencephalon",4006
"4",4008,"Cx","cerebral cortex",4007
"5",4009,"FL","frontal lobe",4008
"6",4053,"AOrG","anterior orbital gyrus",4009
"7",4054,"AOrG","anterior orbital gyrus, left",4053
"8",4055,"AOrG","anterior orbital gyrus, right",4053
"9",4078,"fro","frontal operculum",4009
"10",4079,"fro","frontal operculum, left",4078
"11",4080,"fro","frontal operculum, right",4078
"12",4888,"FP","frontal pole",4009
"13",4889,"FP","frontal pole, left",4888
"14",4890,"FP-s","frontal pole, left, superior aspect",4889
"15",4891,"FPi","frontal pole, left, inferior aspect",4889
"16",4892,"FPm","frontal pole, left, medial aspect",4889
"17",4893,"FP","frontal pole, right",4888
"18",4894,"FP-s","frontal pole, right, superior aspect",4893
"19",4895,"FPi","frontal pole, right, inferior aspect",4893
"20",4896,"FPm","frontal pole, right, medial aspect",4893
"21",4047,"GRe","gyrus rectus",4009
"22",4048,"GRe","gyrus rectus, left",4047
"23",4049,"GRe","gyrus rectus, right",4047
"24",4035,"IFG","inferior frontal gyrus",4009
"25",4036,"IFG","inferior frontal gyrus, left",4035
"26",4037,"IFG","inferior frontal gyrus, right",4035
"27",4041,"opIFG","inferior frontal gyrus, opercular part",4035
"28",4042,"opIFG","inferior frontal gyrus, opercular part, left",4041
"29",4043,"opIFG","inferior frontal gyrus, opercular part, right",4041
"30",4044,"orIFG","inferior frontal gyrus, orbital part",4035
"31",4045,"orIFG","inferior frontal gyrus, orbital part, left",4044
"32",4046,"orIFG","inferior frontal gyrus, orbital part, right",4044
"33",4038,"trIFG","inferior frontal gyrus, triangular part",4035
"34",4039,"trIFG","inferior frontal gyrus, triangular part, left",4038
"35",4040,"trIFG","inferior frontal gyrus, triangular part, right",4038
"36",4900,"IRoG","inferior rostral gyrus",4009
"37",4901,"IRoG","inferior rostral gyrus, left",4900
"38",4902,"IRoG","inferior rostral gyrus, right",4900
"39",4059,"LOrG","lateral orbital gyrus",4009
"40",4060,"LOrG","lateral orbital gyrus, left",4059
"41",4061,"LOrG","lateral orbital gyrus, right",4059
"42",4050,"MOrG","medial orbital gyrus",4009
"43",4051,"MOrG","medial orbital gyrus, left",4050
"44",4052,"MOrG","medial orbital gyrus, right",4050
"45",4028,"MFG","middle frontal gyrus",4009
"46",4029,"MFG","middle frontal gyrus, left",4028
"47",4030,"MFG-s","middle frontal gyrus, left, superior bank of gyrus",4029
"48",4031,"MFG-i","middle frontal gyrus, left, inferior bank of gyrus",4029
"49",4032,"MFG","middle frontal gyrus, right",4028
"50",4033,"MFG-s","middle frontal gyrus, right, superior bank of gyrus",4032
"51",4034,"MFG-i","middle frontal gyrus, right, inferior bank of gyrus",4032
"52",504406,"OlfA","olfactory area",4009
"53",504410,"OlfA","olfactory area, left",504406
"54",504414,"OlfA","olfactory area, right",504406
"55",4071,"PCLa","paracentral lobule, anterior part",4009
"56",4072,"PCLa","paracentral lobule, anterior part, left",4071
"57",4073,"PCLa-s","paracentral lobule, anterior part, left, superior bank of gyrus",4072
"58",4074,"PCLa-i","paracentral lobule, anterior part, left, inferior bank of gyrus",4072
"59",4075,"PCLa","paracentral lobule, anterior part, right",4071
"60",4076,"PCLa-s","paracentral lobule, anterior part, right, superior bank of gyrus",4075
"61",4077,"PCLa-i","paracentral lobule, anterior part, right, inferior bank of gyrus",4075
"62",4065,"PTG","paraterminal gyrus",4009
"63",4066,"PTG","paraterminal gyrus, left",4065
"64",4067,"PTG","paraterminal gyrus, right",4065
"65",4068,"PaOG","parolfactory gyri",4009
"66",4069,"PaOG","parolfactory gyri, left",4068
"67",4070,"PaOG","parolfactory gyri, right",4068
"68",4056,"POrG","posterior orbital gyrus",4009
"69",4057,"POrG","posterior orbital gyrus, left",4056
"70",4058,"POrG","posterior orbital gyrus, right",4056
"71",4010,"PrG","precentral gyrus",4009
"72",4011,"PrG","precentral gyrus, left",4010
"73",4012,"PrG-prc","precentral gyrus, left, bank of the precentral sulcus",4011
"74",4013,"PrG-sl","precentral gyrus, left, superior lateral aspect of gyrus",4011
"75",4014,"PrG-il","precentral gyrus, left, inferior lateral aspect of gyrus",4011
"76",4015,"PrG-cs","precentral gyrus, left, bank of the central sulcus",4011
"77",4016,"PrG","precentral gyrus, right",4010
"78",4017,"PrG-prc","precentral gyrus, right, bank of the precentral sulcus",4016
"79",4018,"PrG-sl","precentral gyrus, right, superior lateral aspect of gyrus",4016
