id	acronym	name	parent
1	4005	Br	brain	NA
2	4006	GM	gray_matter	4005
3	4007	Tel	telencephalon	4006
4	4008	Cx	cerebral_cortex	4007
5	4009	FL	frontal_lobe	4008
6	4053	AOrG	anterior_orbital_gyrus	4009
7	4054	AOrG	anterior_orbital_gyrus,_left	4053
8	4055	AOrG	anterior_orbital_gyrus,_right	4053
9	4078	fro	frontal_operculum	4009
10	4079	fro	frontal_operculum,_left	4078
11	4080	fro	frontal_operculum,_right	4078
12	4888	FP	frontal_pole	4009
13	4889	FP	frontal_pole,_left	4888
14	4890	FP-s	frontal_pole,_left,_superior_aspect	4889
15	4891	FPi	frontal_pole,_left,_inferior_aspect	4889
16	4892	FPm	frontal_pole,_left,_medial_aspect	4889
17	4893	FP	frontal_pole,_right	4888
18	4894	FP-s	frontal_pole,_right,_superior_aspect	4893
19	4895	FPi	frontal_pole,_right,_inferior_aspect	4893
20	4896	FPm	frontal_pole,_right,_medial_aspect	4893
21	4047	GRe	gyrus_rectus	4009
22	4048	GRe	gyrus_rectus,_left	4047
23	4049	GRe	gyrus_rectus,_right	4047
24	4035	IFG	inferior_frontal_gyrus	4009
25	4036	IFG	inferior_frontal_gyrus,_left	4035
26	4037	IFG	inferior_frontal_gyrus,_right	4035
27	4041	opIFG	inferior_frontal_gyrus,_opercular_part	4035
28	4042	opIFG	inferior_frontal_gyrus,_opercular_part,_left	4041
29	4043	opIFG	inferior_frontal_gyrus,_opercular_part,_right	4041
30	4044	orIFG	inferior_frontal_gyrus,_orbital_part	4035
31	4045	orIFG	inferior_frontal_gyrus,_orbital_part,_left	4044
32	4046	orIFG	inferior_frontal_gyrus,_orbital_part,_right	4044
33	4038	trIFG	inferior_frontal_gyrus,_triangular_part	4035
34	4039	trIFG	inferior_frontal_gyrus,_triangular_part,_left	4038
35	4040	trIFG	inferior_frontal_gyrus,_triangular_part,_right	4038
36	4900	IRoG	inferior_rostral_gyrus	4009
37	4901	IRoG	inferior_rostral_gyrus,_left	4900
38	4902	IRoG	inferior_rostral_gyrus,_right	4900
39	4059	LOrG	lateral_orbital_gyrus	4009
40	4060	LOrG	lateral_orbital_gyrus,_left	4059
41	4061	LOrG	lateral_orbital_gyrus,_right	4059
42	4050	MOrG	medial_orbital_gyrus	4009
43	4051	MOrG	medial_orbital_gyrus,_left	4050
44	4052	MOrG	medial_orbital_gyrus,_right	4050
45	4028	MFG	middle_frontal_gyrus	4009
46	4029	MFG	middle_frontal_gyrus,_left	4028
47	4030	MFG-s	middle_frontal_gyrus,_left,_superior_bank_of_gyrus	4029
48	4031	MFG-i	middle_frontal_gyrus,_left,_inferior_bank_of_gyrus	4029
49	4032	MFG	middle_frontal_gyrus,_right	4028
50	4033	MFG-s	middle_frontal_gyrus,_right,_superior_bank_of_gyrus	4032
51	4034	MFG-i	middle_frontal_gyrus,_right,_inferior_bank_of_gyrus	4032
52	504406	OlfA	olfactory_area	4009
53	504410	OlfA	olfactory_area,_left	504406
54	504414	OlfA	olfactory_area,_right	504406
55	4071	PCLa	paracentral_lobule,_anterior_part	4009
56	4072	PCLa	paracentral_lobule,_anterior_part,_left	4071
57	4073	PCLa-s	paracentral_lobule,_anterior_part,_left,_superior_bank_of_gyrus	4072
58	4074	PCLa-i	paracentral_lobule,_anterior_part,_left,_inferior_bank_of_gyrus	4072
59	4075	PCLa	paracentral_lobule,_anterior_part,_right	4071
60	4076	PCLa-s	paracentral_lobule,_anterior_part,_right,_superior_bank_of_gyrus	4075
61	4077	PCLa-i	paracentral_lobule,_anterior_part,_right,_inferior_bank_of_gyrus	4075
62	4065	PTG	paraterminal_gyrus	4009
63	4066	PTG	paraterminal_gyrus,_left	4065
64	4067	PTG	paraterminal_gyrus,_right	4065
65	4068	PaOG	parolfactory_gyri	4009
66	4069	PaOG	parolfactory_gyri,_left	4068
67	4070	PaOG	parolfactory_gyri,_right	4068
68	4056	POrG	posterior_orbital_gyrus	4009
69	4057	POrG	posterior_orbital_gyrus,_left	4056
70	4058	POrG	posterior_orbital_gyrus,_right	4056
71	4010	PrG	precentral_gyrus	4009
72	4011	PrG	precentral_gyrus,_left	4010
73	4012	PrG-prc	precentral_gyrus,_left,_bank_of_the_precentral_sulcus	4011
74	4013	PrG-sl	precentral_gyrus,_left,_superior_lateral_aspect_of_gyrus	4011
75	4014	PrG-il	precentral_gyrus,_left,_inferior_lateral_aspect_of_gyrus	4011
76	4015	PrG-cs	precentral_gyrus,_left,_bank_of_the_central_sulcus	4011
